"Wage","Associate's","Bachelor's","Doctorate","High School","Master's","None","GDP per capita","Unemployment"
163000,0,1,0,0,0,0,12518.036,3.7
325000,0,0,1,0,0,0,32526.65,3.7
128794,0,0,0,0,1,0,32526.65,3.7
74755,0,0,1,0,0,0,12578.359,5.35
150000,0,0,1,0,0,0,32526.65,3.7
98577,0,1,0,0,0,0,32526.65,3.7
120000,0,1,0,0,0,0,32526.65,3.7
175000,0,0,0,0,1,0,12578.359,5.35
213169,0,1,0,0,0,0,65504.595,3.7
150000,0,0,0,0,1,0,12578.359,5.35
135429,0,0,0,0,1,0,12578.359,5.35
233200,0,0,0,0,1,0,32526.65,3.7
136103.14,0,1,0,0,0,0,12450.6815,3.05
78811,0,0,0,0,1,0,12578.359,5.35
130000,1,0,0,0,0,0,54580.308,5.35
92200,0,0,0,0,1,0,12578.359,5.35
147500,0,1,0,0,0,0,44153.444,7.35
145000,0,0,0,0,1,0,32526.65,3.7
49130,0,0,0,0,1,0,32793.3645,2.8
108930,0,0,1,0,0,0,12578.359,5.35
120429.84,0,0,1,0,0,0,12578.359,5.35
48069,0,1,0,0,0,0,21811.635,11.65
39270,0,1,0,0,0,0,6536.735,5.35
165000,0,0,0,0,1,0,32793.3645,2.8
310000,0,0,0,0,0,0,54580.308,5.35
107000,0,0,0,0,1,0,12578.359,5.35
111000,0,0,1,0,0,0,12578.359,5.35
75000,0,0,0,0,1,0,16027.205,8.35
142500,0,1,0,0,0,0,12578.359,5.35
104978,0,0,0,0,1,0,12578.359,5.35
62275,0,0,0,0,1,0,12578.359,5.35
92622,0,0,0,0,1,0,12450.6815,3.05
165000,0,0,0,0,1,0,47414.5395,3.95
101587,0,0,0,0,1,0,12578.359,5.35
120578,0,0,0,0,1,0,12578.359,5.35
150000,0,0,0,0,1,0,4212.8895,2.15
108784,0,0,0,0,1,0,12578.359,5.35
100526,0,1,0,0,0,0,1555.709,7.35
129044.7,0,0,0,0,1,0,4157.4145,7.25
141460.73,0,1,0,0,0,0,12578.359,5.35
125000,0,0,0,0,1,0,12578.359,5.35
58000,0,0,0,0,0,1,12578.359,5.35
83900,0,0,0,0,1,0,12578.359,5.35
83900,0,0,0,0,1,0,1555.709,7.35
150750,0,0,1,0,0,0,12578.359,5.35
182500,0,0,1,0,0,0,12578.359,5.35
90000,0,1,0,0,0,0,12450.6815,3.05
111966,0,0,0,0,1,0,12578.359,5.35
61048,0,0,0,0,0,1,47410.443,3.5
70838.47,0,0,0,0,1,0,12578.359,5.35
115000,0,0,0,0,1,0,6528.168,3.45
65000,0,0,0,0,1,0,10127.2495,8.65
78000,0,0,1,0,0,0,12578.359,5.35
85000,0,0,1,0,0,0,6831.44,10.65
87893,0,0,0,0,1,0,32793.3645,2.8
67893,0,1,0,0,0,0,33905.298,2.6
47237,0,0,0,0,1,0,12578.359,5.35
50773,0,0,0,0,1,0,4212.8895,2.15
55786,0,0,0,0,1,0,6536.735,5.35
120000,0,1,0,0,0,0,12578.359,5.35
51771,0,0,0,0,1,0,12578.359,5.35
80000,0,1,0,0,0,0,12450.6815,3.05
1e+05,0,0,0,0,1,0,12578.359,5.35
150001,0,1,0,0,0,0,12450.6815,3.05
160000,0,1,0,0,0,0,12578.359,5.35
92102,0,0,0,0,1,0,12578.359,5.35
160000,0,0,0,0,1,0,12578.359,5.35
145725,0,0,0,0,1,0,12578.359,5.35
160000,0,1,0,0,0,0,12578.359,5.35
99632,0,0,0,0,1,0,12578.359,5.35
66914,0,1,0,0,0,0,12578.359,5.35
68500,0,1,0,0,0,0,12578.359,5.35
121500,0,0,0,0,1,0,12578.359,5.35
115856,0,0,0,0,1,0,12578.359,5.35
51210,0,1,0,0,0,0,11735.4825,9.95
67538,0,1,0,0,0,0,12518.036,3.7
251160,0,0,0,0,0,0,54580.308,5.35
51022,0,1,0,0,0,0,3745.6325,4.9
73258,0,0,0,0,1,0,12578.359,5.35
80549.37,0,0,0,0,1,0,12578.359,5.35
187250,0,0,0,0,1,0,12578.359,5.35
131457,0,0,0,0,1,0,12578.359,5.35
119517,0,0,0,0,1,0,12578.359,5.35
315000,0,1,0,0,0,0,12578.359,5.35
112500,0,0,0,0,1,0,4358.605,9
80086,0,1,0,0,0,0,6831.44,10.65
81578,0,1,0,0,0,0,10127.2495,8.65
59280,0,1,0,0,0,0,32793.3645,2.8
103168,0,0,0,0,1,0,12578.359,5.35
54590,0,0,0,0,1,0,12578.359,5.35
117312,0,0,0,0,0,1,12450.6815,3.05
64440,0,0,0,0,1,0,12578.359,5.35
112000,0,0,0,0,1,0,12578.359,5.35
110656,0,0,0,0,1,0,12578.359,5.35
127356,0,0,0,0,1,0,12578.359,5.35
99315,0,1,0,0,0,0,12578.359,5.35
96000,0,1,0,0,0,0,12450.6815,3.05
108000,0,0,0,0,1,0,12578.359,5.35
85322,0,0,0,0,1,0,12578.359,5.35
73300,0,1,0,0,0,0,12578.359,5.35
60965,0,0,0,0,1,0,6528.168,3.45
118643,0,0,0,0,1,0,49015.6565,3.6
66000,0,0,0,0,1,0,12578.359,5.35
150000,0,0,0,0,1,0,12578.359,5.35
114835,0,0,0,0,1,0,12578.359,5.35
167000,0,0,0,0,1,0,12578.359,5.35
123000,0,0,0,0,1,0,12578.359,5.35
2e+05,0,0,0,0,1,0,12578.359,5.35
112000,0,0,0,0,1,0,1945.012,22.6
86000,0,0,0,0,1,0,1945.012,22.6
50918,0,1,0,0,0,0,54580.308,5.35
98150,0,0,0,0,1,0,12578.359,5.35
133800,0,0,0,0,1,0,12578.359,5.35
83765.7,0,1,0,0,0,0,12578.359,5.35
103200,0,0,0,0,1,0,12578.359,5.35
103200,0,0,0,0,1,0,12578.359,5.35
90000,0,1,0,0,0,0,12578.359,5.35
76690,0,1,0,0,0,0,12578.359,5.35
97406,0,0,0,0,1,0,12578.359,5.35
118102,0,1,0,0,0,0,6831.44,10.65
105851,0,0,0,0,1,0,4157.4145,7.25
135000,0,0,0,0,1,0,14567.755,3.55
137700,0,0,0,0,1,0,12578.359,5.35
150000,0,0,0,0,1,0,12578.359,5.35
89011,0,0,0,0,1,0,5313.746,6.35
170000,0,0,0,0,1,0,12578.359,5.35
140400,0,0,0,0,1,0,12578.359,5.35
113110,0,0,0,0,1,0,12578.359,5.35
93800,0,1,0,0,0,0,4212.8895,2.15
130800,0,0,0,0,1,0,32526.65,3.7
134540,0,0,1,0,0,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
147680,0,0,1,0,0,0,12578.359,5.35
120578,0,0,0,0,1,0,12578.359,5.35
93800,0,1,0,0,0,0,12578.359,5.35
113110,0,0,0,0,1,0,12578.359,5.35
270000,0,0,0,0,1,0,12578.359,5.35
69826,0,0,0,0,1,0,4358.605,9
81600,0,0,0,0,1,0,12578.359,5.35
81600,0,0,0,0,1,0,12578.359,5.35
84282,0,1,0,0,0,0,1945.012,22.6
107786,0,0,0,0,1,0,14567.755,3.55
175000,0,1,0,0,0,0,54580.308,5.35
44221,0,0,0,0,1,0,12578.359,5.35
140500,0,0,0,0,1,0,12578.359,5.35
1e+05,0,0,0,0,1,0,54580.308,5.35
116700,0,0,0,0,1,0,54580.308,5.35
1e+05,0,0,0,0,1,0,12578.359,5.35
84896.64,0,0,0,0,1,0,12578.359,5.35
134534,0,0,0,0,1,0,12578.359,5.35
105880,0,0,0,0,1,0,12578.359,5.35
134000,0,0,0,0,1,0,12578.359,5.35
145000,0,0,1,0,0,0,12578.359,5.35
76981,0,0,0,0,1,0,12578.359,5.35
155000,0,0,0,0,1,0,12578.359,5.35
146450,0,0,1,0,0,0,54580.308,5.35
160000,0,0,0,0,1,0,12578.359,5.35
94600,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
72634,0,0,0,0,1,0,12578.359,5.35
57000,0,1,0,0,0,0,13832.3245,6.7
85779,0,1,0,0,0,0,54580.308,5.35
139329,0,0,0,0,0,1,65504.595,3.7
100402,0,1,0,0,0,0,10127.2495,8.65
154514,0,0,0,0,1,0,11735.4825,9.95
68021.46,0,0,0,0,1,0,12578.359,5.35
166967,0,1,0,0,0,0,54580.308,5.35
166026,0,0,0,0,1,0,33905.298,2.6
93723.03,0,0,0,0,1,0,65504.595,3.7
65265.2,0,1,0,0,0,0,12578.359,5.35
86050,0,0,0,0,1,0,12578.359,5.35
86050,0,0,0,0,1,0,12578.359,5.35
86050,0,0,0,0,1,0,12578.359,5.35
106246,0,1,0,0,0,0,12578.359,5.35
175218,0,1,0,0,0,0,54580.308,5.35
71053,0,0,0,0,1,0,12518.036,3.7
90697,0,1,0,0,0,0,12518.036,3.7
71591,0,0,0,0,1,0,32793.3645,2.8
85000,0,0,0,0,1,0,49015.6565,3.6
305000,0,0,0,0,0,0,54580.308,5.35
110000,0,0,0,0,1,0,7634.573,7.25
305000,0,0,0,0,0,0,18067.6825,8.1
236000,0,0,0,0,0,0,3540.4745,35.6
59696,0,0,0,0,1,0,4358.605,9
59696,0,0,0,0,1,0,12578.359,5.35
150000,0,0,0,0,0,0,54580.308,5.35
135000,0,0,0,0,0,0,49015.6565,3.6
154964.1,0,1,0,0,0,0,12578.359,5.35
102600,0,0,0,0,1,0,50741.637,3.05
145582.28,0,1,0,0,0,0,11735.4825,9.95
117104,0,0,0,0,1,0,12578.359,5.35
114733,0,0,0,0,1,0,12578.359,5.35
76606,0,0,0,0,1,0,21811.635,11.65
220688,0,1,0,0,0,0,54580.308,5.35
136365,0,0,0,0,1,0,12578.359,5.35
73632,0,0,0,0,1,0,12578.359,5.35
118643,0,0,0,0,1,0,12578.359,5.35
109000,0,0,0,0,1,0,32793.3645,2.8
140000,0,0,0,0,1,0,44153.444,7.35
125000,0,0,0,0,1,0,12450.6815,3.05
84700,0,0,0,0,1,0,12578.359,5.35
78125,0,0,0,0,1,0,12578.359,5.35
132000,0,0,0,0,0,1,54580.308,5.35
132500,0,1,0,0,0,0,3341.996,5.3
72218,0,1,0,0,0,0,1555.709,7.35
160000,0,0,0,0,1,0,12578.359,5.35
142526.54,0,0,0,0,1,0,12578.359,5.35
144000,0,1,0,0,0,0,86581.5005,2
62483,0,0,0,0,1,0,44153.444,7.35
89011,0,0,0,0,1,0,12578.359,5.35
107000,0,1,0,0,0,0,1555.709,7.35
160694,0,1,0,0,0,0,12450.6815,3.05
175000,0,0,0,0,1,0,12578.359,5.35
150050,0,0,0,0,1,0,12578.359,5.35
82000,0,0,0,0,1,0,7204.9745,1.25
92082,0,0,0,0,1,0,12578.359,5.35
89600,0,1,0,0,0,0,11735.4825,9.95
102000,0,0,0,0,1,0,12578.359,5.35
93600,0,1,0,0,0,0,4212.8895,2.15
162000,0,0,0,0,1,0,12578.359,5.35
120000,0,0,0,0,1,0,4212.8895,2.15
93800,0,0,0,0,1,0,12578.359,5.35
145246,0,0,0,0,1,0,12578.359,5.35
186300,0,0,0,0,1,0,12578.359,5.35
117900,0,0,0,0,1,0,12578.359,5.35
130000,0,0,0,0,1,0,12578.359,5.35
93800,0,1,0,0,0,0,12578.359,5.35
130000,0,0,0,0,1,0,12578.359,5.35
123420.13,0,1,0,0,0,0,12450.6815,3.05
105000,0,0,0,0,1,0,12578.359,5.35
122300,0,1,0,0,0,0,54580.308,5.35
93800,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
93800,0,0,0,0,1,0,12578.359,5.35
97455,0,0,0,0,1,0,12578.359,5.35
107900,0,0,0,0,1,0,12578.359,5.35
177000,0,0,0,0,1,0,54580.308,5.35
121160,0,1,0,0,0,0,12578.359,5.35
121160,0,0,0,0,1,0,12578.359,5.35
2e+05,0,0,0,0,1,0,12578.359,5.35
2e+05,0,0,0,0,1,0,12578.359,5.35
57000,0,0,0,0,1,0,12578.359,5.35
101816,0,1,0,0,0,0,7473.0565,16.85
116813,0,0,0,0,1,0,12578.359,5.35
67475,0,0,0,0,1,0,12578.359,5.35
165000,0,0,0,0,1,0,12578.359,5.35
138957,0,0,0,0,1,0,12578.359,5.35
112735,0,0,0,0,1,0,12578.359,5.35
133900,0,0,1,0,0,0,4870.7305,5.6
137363,0,1,0,0,0,0,79412.062,3.6
132500,0,0,0,0,1,0,12578.359,5.35
77000,0,1,0,0,0,0,32793.3645,2.8
153000,0,0,1,0,0,0,12578.359,5.35
92600,0,0,0,0,1,0,12578.359,5.35
125276.54,0,0,1,0,0,0,12578.359,5.35
102200,0,0,1,0,0,0,12578.359,5.35
92419.67,0,0,0,0,1,0,3341.996,5.3
110000,0,0,0,0,1,0,12578.359,5.35
91660,0,0,0,0,1,0,12578.359,5.35
170000,0,0,0,0,1,0,12578.359,5.35
92700,0,0,0,0,1,0,12578.359,5.35
160000,0,0,0,0,1,0,12578.359,5.35
95268,0,0,1,0,0,0,12578.359,5.35
92565,0,0,0,0,1,0,12578.359,5.35
180000,0,0,1,0,0,0,12578.359,5.35
69285,0,0,0,0,1,0,33261.5065,9.8
58100,0,0,0,0,1,0,12578.359,5.35
82222,0,0,0,0,1,0,44153.444,7.35
122000,0,0,1,0,0,0,4358.605,9
95000,0,1,0,0,0,0,4407.307,22.9
86757,0,0,0,0,1,0,32526.65,3.7
87360,0,0,0,0,1,0,12578.359,5.35
88504,0,0,0,0,1,0,12578.359,5.35
150000,0,0,1,0,0,0,12578.359,5.35
182496,0,0,0,0,1,0,86581.5005,2
112798,0,0,1,0,0,0,12578.359,5.35
106350,0,0,1,0,0,0,4157.4145,7.25
81848,0,0,0,0,1,0,12578.359,5.35
86050,0,0,0,0,1,0,12578.359,5.35
120950.66,0,1,0,0,0,0,86581.5005,2
102500,0,0,0,0,1,0,12578.359,5.35
107460,0,0,1,0,0,0,12578.359,5.35
52666,0,0,0,0,1,0,12578.359,5.35
280000,0,0,0,0,0,0,54580.308,5.35
233000,0,0,0,0,0,0,54580.308,5.35
255000,0,0,0,0,0,0,10949.056,5.75
120000,0,0,1,0,0,0,4358.605,9
90000,0,0,1,0,0,0,6831.44,10.65
83000,0,0,1,0,0,0,12578.359,5.35
78900,0,0,1,0,0,0,12578.359,5.35
210000,0,0,0,0,0,0,3205.6435,8.5
64000,0,0,1,0,0,0,6831.44,10.65
76665,0,0,1,0,0,0,12578.359,5.35
56620,0,1,0,0,0,0,32793.3645,2.8
73567,0,1,0,0,0,0,12578.359,5.35
59271.52,0,1,0,0,0,0,12450.6815,3.05
187917.6,0,0,0,0,1,0,47410.443,3.5
97000,0,0,0,0,0,1,10127.2495,8.65
47370,0,1,0,0,0,0,47414.5395,3.95
64688,0,1,0,0,0,0,12578.359,5.35
1e+05,0,1,0,0,0,0,54580.308,5.35
70000,0,0,0,0,1,0,12578.359,5.35
64000,0,0,0,0,0,0,28522.0385,7.7
